# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
7.0 1.3596 1606.9 0.23216 -8347.5 -26980.0 0.0 22.815 2.1409 1.2051 28.469 2.6795 5.0 1.4881 2635.2 2357.1 2790.02883277 60.1655830388 2092.60130368 1.34796825165 
7.0 44.0 2777.8 4.3474 -5659.6 -37821.0 0.0 22.82 2.4182 1.1774 1.0 0.0 0.0 0.0 0.0 0.0 2777.8 0.0 0.0 0.0 
7.0 25.001 2549.4 2.6916 -6207.9 -35725.0 0.0 22.82 2.3821 1.1806 1.731 1.0 1.0 0.65475 1952.5 1037.3 2779.61082 108.104491795 4756.0137457 3.04709734136 
7.0 1.4247 1608.8 0.24305 -8349.3 -26976.0 0.0 22.82 2.1416 1.205 28.488 2.6802 5.0 1.4881 2635.6 2357.6 2793.36890634 57.3361274716 2092.60130368 1.34726959754 
8.0 30.0 2667.0 3.0968 -5766.8 -36674.0 0.0 22.89 2.3917 1.1791 1.0 0.0 0.0 0.0 0.0 0.0 2667.0 0.0 0.0 0.0 
8.0 17.035 2445.6 1.9176 -6292.1 -34634.0 0.0 22.89 2.3535 1.1825 1.7369 0.99999 1.0 0.65785 1907.3 1017.1 2668.7565368 157.806865761 4733.60188493 3.1016260628 
8.0 0.96535 1533.3 0.17332 -8338.5 -26108.0 0.0 22.89 2.1032 1.2088 29.501 2.7106 5.0 1.4872 2561.4 2299.4 2709.438597 80.3256622213 2093.86767079 1.37245285899 
8.0 32.0 2669.5 3.3009 -5766.8 -36642.0 0.0 22.896 2.3922 1.179 1.0 0.0 0.0 0.0 0.0 0.0 2669.5 0.0 0.0 0.0 
8.0 18.171 2448.1 2.0439 -6292.4 -34606.0 0.0 22.896 2.354 1.1824 1.7372 0.99999 1.0 0.658 1907.8 1017.6 2671.36225469 147.912629695 4732.52279635 3.0997179303 
8.0 1.03 1535.4 0.18473 -8340.5 -26098.0 0.0 22.896 2.104 1.2086 29.52 2.7113 5.0 1.4871 2561.8 2299.8 2712.62911062 75.1758521446 2094.00847287 1.37183609224 
8.0 34.0 2672.0 3.5049 -5766.8 -36611.0 0.0 22.902 2.3926 1.1789 1.0 0.0 0.0 0.0 0.0 0.0 2672.0 0.0 0.0 0.0 
8.0 19.307 2450.4 2.1702 -6292.7 -34579.0 0.0 22.902 2.3545 1.1823 1.7374 0.99999 1.0 0.65815 1908.3 1018.0 2673.74949294 139.182735484 4731.44419965 3.09793905299 
8.0 1.0947 1537.2 0.19614 -8342.3 -26087.0 0.0 22.902 2.1047 1.2085 29.538 2.712 5.0 1.4871 2562.1 2300.2 2715.85257633 70.6337040384 2094.00847287 1.37116066466 
8.0 36.0 2674.2 3.7088 -5766.8 -36581.0 0.0 22.907 2.393 1.1788 1.0 0.0 0.0 0.0 0.0 0.0 2674.2 0.0 0.0 0.0 
8.0 20.444 2452.6 2.2965 -6293.0 -34554.0 0.0 22.907 2.3549 1.1822 1.7377 0.99999 1.0 0.65828 1908.7 1018.4 2676.02739139 131.420642968 4730.50981345 3.09625221549 
8.0 1.1593 1539.0 0.20754 -8344.0 -26078.0 0.0 22.907 2.1054 1.2083 29.554 2.7126 5.0 1.4871 2562.3 2300.6 2718.42250091 66.6098507899 2094.00847287 1.37058061246 
8.0 38.0 2676.3 3.9126 -5766.8 -36553.0 0.0 22.912 2.3934 1.1787 1.0 0.0 0.0 0.0 0.0 0.0 2676.3 0.0 0.0 0.0 
